path,sha256,size_bytes,role,version
/home/claude/rgcs-work/internal-docs/reference_documents/Lee_Tsai_2026_Naturally_Resonant_Dark_Matter.pdf,840550b700d9aaf177c452b6e20b5230866b4d0582882f66ecf8e048702cfb8a,696407,Reference paper 1: compact-mode / resonance-level mathematical template (PRD 114 L011701; DOI 10.1103/tsq1-bhsz),published 8 July 2026
/home/claude/rgcs-work/internal-docs/reference_documents/Gan_et_al_2025_Quantum_Damping_Cosmological_Shear.pdf,5b88b838e4e7b151039a0017fc7731318f95c3b8fe91ee6f87e3e2acee43fa45,535444,Reference paper 2: anisotropy/shear functional and exponential damping template (arXiv:2510.14021v1),dated 17 October 2025
/home/claude/rgcs-work/internal-docs/reference_documents/Koster_et_al_2026_Magnon_BEC_Phase_Coherence.pdf,ad74d394ec7434a411530305e399a8803e47c50472b31291b18f7bee5581a44b,6673166,Reference paper 3: phase-coherence measurement architecture template (Nature Physics; DOI 10.1038/s41567-026-03373-6),published 13 July 2026
/home/claude/rgcs-work/internal-docs/existing_project/Resonant_Geometry_Computational_System_v2.tex,3126dd441ec88d5873204c303e77e3c68a48952d438ece6bf91bcf2b26e57131,25189,Current v2 manuscript source (audited; superseded by RGCS v2 rebuild),v2 (14 July 2026)
/home/claude/rgcs-work/internal-docs/existing_project/app.py,6eb18ca85901ab255da3040cbf3242e3957e9c458fadc247bc100523f6c3d5b5,13445,Existing Gradio UI prototype (audited),v2 prototype
/home/claude/rgcs-work/internal-docs/existing_project/README.md,e6db824c24c79fa15789508a33a047c39176fcaa412b19e1043329f9eefa979a,2304,Existing package README with paper-to-system core mapping,v2 prototype
/home/claude/rgcs-work/internal-docs/existing_project/scad/rgcs_v2_compact_spiral_resonator.scad,7aa268015915670ff25f86da8041c96e7a78a92c6b6c70e93c38d3bd44728b5e,4862,Spiral/cone/controls-grid parametric CAD generator (audited),v2 prototype
/home/claude/rgcs-work/internal-docs/existing_project/scad/vogel_parametric_crystal_models_v6_RGCS_v2.scad,c5f0e53f3c2e640c79ed0b89c9182f4473873a7571b6bc346f96b58a2372a286,23297,Crystal parametric CAD generator with presets and node/mode markers (audited; contains render-dispatch defect),v6 RGCS v2
/home/claude/rgcs-work/workbook_dump_RGCS_v2_Computational_Workbook.txt,2deb6b6b4f097a860f08690644e283ba40b321d8ea60151aebfdf9c8fd58ad8c,40120,Full formula dump of the current v2 workbook (11 sheets),v2 workbook dump
/home/claude/rgcs-work/workbook_dump_Vogel_4096Hz_Pulse_Timing_Calculator_v3_JH_complete.txt,9ea1a23e660111d9fc8d651778313473f55194afc51dd09bf4f0a0affc0a6a4f,22379,Full formula dump of pulse-timing calculator (timing families; ESP32 plan; safety; source presets),v3 JH complete dump
/home/claude/rgcs-work/workbook_dump_Proposed_Vogel_Cut_Crystal_Computational_Workbook_v5_JH_audit.txt,5c50af896d04f09207f2ce1a364fd7a4ec8c8ab919590f3ebf461fc60b81c760,71048,Full formula dump of v5 JH-audit workbook (16 sheets incl. JH audit and eye-node model),v5 JH audit dump
/home/claude/rgcs-work/corpus/v2_pkg/RGCS_v2_Public_Package/rgcs_v2/core.py,5c689304ddabd44c2512f273cd4746f7377ea87ca1259ce2f11bd15fcca29943,19063,Prototype mathematical core library (audited; source of golden values),v2 public package
/home/claude/rgcs-work/corpus/v2_pkg/RGCS_v2_Public_Package/docs/RGCS_v2_Mathematical_Specification.md,f06df901fb56405a7fb3dfb3b37b930ce10f1ddf26f2dc5d903c9419995a96a1,1424,Prototype math specification (thin; to be replaced),v2 public package
/home/claude/rgcs-work/corpus/v2_pkg/RGCS_v2_Public_Package/docs/SOURCE_MAPPING.md,ed806d790f089c03ba1667213977c088066f9c7f0fa8f722046eccaab19e78de,1031,Prototype source mapping (LT/JH/Vogel; to be superseded by evidence ledger),v2 public package
/home/claude/rgcs-work/corpus/v2_pkg/RGCS_v2_Public_Package/docs/EXPERIMENT_SCHEMA.md,c6546b3d045041d153c10906f39521da51fac13885b4b098b3591c848059a2eb,788,Prototype experiment run schema (to be extended with coherence/ensemble fields),v2 public package
/home/claude/rgcs-work/corpus/v2_pkg/RGCS_v2_Public_Package/tests/test_core.py,bf24a6d96fadfc2f1c12d150435911743dbe3789330bbd4d552465b2f886d4f5,2374,Prototype unit tests (source of existing golden values),v2 public package
/home/claude/rgcs-work/corpus/v1_8/package_v1_8/README_PACKAGE.md,534694f5ee2deefc94e3486760b44dc72dbc5fd19aecb3fd18fd96ad814d7440,2198,v1.8 corpus package README (JH log integration summary),v1.8
/home/claude/rgcs-work/corpus/v1_8/package_v1_8/Audit_Data/curated_findings.csv,9e31d9b1924d9563683b29b2d97d322384b1ef64fb2d5eaf876faf1382fabf0e,18226,60-item curated JH-finding register (JH-001..JH-060) with page provenance,v1.8 audit data
