K,plv_run0,plv_run1,plv_run2,plv_run3,plv_run4,plv_run5,plv_run6,plv_run7
0,0.0854744867,0.0870344724,0.0875026014,0.0856930747,0.08580678,0.0870479695,0.0878613425,0.0857333183
50,0.166415539,0.155807916,0.139046034,0.035348211,0.0823563802,0.0500189702,0.124260177,0.172595703
100,0.187564011,0.230374808,0.210479829,0.170444687,0.228123068,0.173843948,0.176331873,0.169879373
150,0.262606561,0.428053276,0.270210098,0.273683457,0.43146869,0.394240065,0.30437791,0.42338027
200,0.504030503,0.504578199,0.504545081,0.506324008,0.505152674,0.490327449,0.506585234,0.504162494
250,0.996537455,0.996642303,0.995103449,0.995944232,0.997013715,0.872157131,0.996507757,0.997248017
300,0.999985204,0.999988335,0.999869898,0.99993765,0.999959865,0.999961673,0.999975901,0.99942239
400,0.999994465,0.999996028,0.999991411,0.999993948,0.999995577,0.999997199,0.999994338,0.999996578
600,0.99999836,0.999996367,0.999996853,0.999997479,0.999997715,0.999997134,0.99999701,0.99999785
1000,0.999998465,0.999998245,0.999998969,0.999998587,0.999998605,0.999998261,0.999998322,0.999998943
